Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RP","Pesticides Use","417","Kyrgyzstan","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","tonnes","560","E","Estimated value"
"RP","Pesticides Use","417","Kyrgyzstan","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","tonnes","608","E","Estimated value"
"RP","Pesticides Use","417","Kyrgyzstan","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","tonnes","677.3","E","Estimated value"
"RP","Pesticides Use","417","Kyrgyzstan","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","tonnes","692.6","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","1990","1990","tonnes","21","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","1991","1991","tonnes","21","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","1992","1992","tonnes","21","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","1993","1993","tonnes","46","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","1994","1994","tonnes","35.59","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","1995","1995","tonnes","25.19","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","1996","1996","tonnes","14.79","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","1997","1997","tonnes","4.38","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","1998","1998","tonnes","0.66","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","1999","1999","tonnes","0.97","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","tonnes","1.28","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","tonnes","1.79","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","tonnes","2.3","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","tonnes","2.81","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","tonnes","3.31","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","tonnes","3.82","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","tonnes","4.33","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","tonnes","0.44","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","tonnes","0.07","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","tonnes","25.67","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","tonnes","1.83","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","tonnes","43.8","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","tonnes","43.53","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","tonnes","125.89","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","tonnes","3","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","tonnes","189.35","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","tonnes","175.41","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","tonnes","145.1","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","tonnes","187.31","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","tonnes","187.31","E","Estimated value"
"RP","Pesticides Use","418","Lao People's Democratic Republic","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","tonnes","187.31","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","1990","1990","tonnes","1221","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","1991","1991","tonnes","1221","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","1992","1992","tonnes","1221","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","1993","1993","tonnes","1221","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","1994","1994","tonnes","1221","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","1995","1995","tonnes","1221","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","1996","1996","tonnes","1221","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","1997","1997","tonnes","1816","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","1998","1998","tonnes","1816","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","1999","1999","tonnes","1816","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","tonnes","1816","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","tonnes","1816","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","tonnes","1816","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","tonnes","1816","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","tonnes","1816","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","tonnes","1816","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","tonnes","1816","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","tonnes","1816","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","tonnes","1816","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","tonnes","1816","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","tonnes","1816","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","tonnes","1816","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","tonnes","1816","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","tonnes","1816","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","tonnes","1816","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","tonnes","1816","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","tonnes","1816","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","tonnes","1816","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","tonnes","1816","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","tonnes","1816","E","Estimated value"
"RP","Pesticides Use","422","Lebanon","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","tonnes","1816","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","1990","1990","tonnes","39406.48","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","1991","1991","tonnes","39406.48","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","1992","1992","tonnes","39406.48","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","1993","1993","tonnes","39406.48","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","1994","1994","tonnes","39406.48","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","1995","1995","tonnes","39406.48","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","1996","1996","tonnes","39406.48","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","1997","1997","tonnes","39406.48","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","1998","1998","tonnes","39406.48","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","1999","1999","tonnes","39406.48","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","tonnes","39406.48","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","tonnes","39406.48","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","tonnes","39406.48","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","tonnes","39406.48","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","tonnes","39406.48","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","tonnes","39406.48","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","tonnes","39406.48","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","tonnes","46868.35","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","tonnes","54821.91","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","tonnes","52464.19","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","tonnes","60194.83","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","tonnes","41562.16","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","tonnes","49810.48","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","tonnes","61445.6","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","tonnes","49199.43","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","tonnes","63307.64","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","tonnes","67288","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","tonnes","50683","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","tonnes","44114","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","tonnes","47805","E","Estimated value"
"RP","Pesticides Use","458","Malaysia","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","tonnes","36076.9","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","1990","1990","tonnes","44.33","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","1991","1991","tonnes","44.33","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","1992","1992","tonnes","44.33","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","1993","1993","tonnes","44.33","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","1994","1994","tonnes","44.33","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","1995","1995","tonnes","44.33","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","1996","1996","tonnes","44.33","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","1997","1997","tonnes","44.33","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","1998","1998","tonnes","44.33","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","1999","1999","tonnes","44.33","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","tonnes","44.33","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","tonnes","44.33","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","tonnes","44.33","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","tonnes","44.33","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","tonnes","44.33","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","tonnes","44.33","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","tonnes","44.33","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","tonnes","44.33","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","tonnes","44.33","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","tonnes","44.33","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","tonnes","44.33","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","tonnes","44.33","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","tonnes","66.17","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","tonnes","75.96","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","tonnes","53.9","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","tonnes","103.3","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","tonnes","93.4","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","tonnes","87.9","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","tonnes","106.2","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","tonnes","124.3","E","Estimated value"
"RP","Pesticides Use","462","Maldives","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","tonnes","90.12","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","1990","1990","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","1991","1991","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","1992","1992","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","1993","1993","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","1994","1994","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","1995","1995","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","1996","1996","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","1997","1997","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","1998","1998","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","1999","1999","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","496","Mongolia","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","tonnes","115.7","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","1990","1990","tonnes","209.08","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","1991","1991","tonnes","114","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","1992","1992","tonnes","151.18","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","1993","1993","tonnes","160.33","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","1994","1994","tonnes","190","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","1995","1995","tonnes","264.76","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","1996","1996","tonnes","137.24","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","1997","1997","tonnes","145.54","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","1998","1998","tonnes","282.88","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","1999","1999","tonnes","420.21","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","tonnes","557.55","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","tonnes","694.89","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","tonnes","949.06","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","tonnes","858.94","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","tonnes","1042.39","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","2005","2005","tonnes","1448.85","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","2006","2006","tonnes","3872.16","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","2007","2007","tonnes","3329.67","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","2008","2008","tonnes","1438.56","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","2009","2009","tonnes","1091.08","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","2010","2010","tonnes","3340.09","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","2011","2011","tonnes","4642.42","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","2012","2012","tonnes","3044.78","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","2013","2013","tonnes","2898.2","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","2014","2014","tonnes","5417.8","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","2015","2015","tonnes","7690.63","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","2016","2016","tonnes","12092","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","2017","2017","tonnes","17274","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","2018","2018","tonnes","15326","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","2019","2019","tonnes","17337.49","E","Estimated value"
"RP","Pesticides Use","104","Myanmar","5157","Agricultural Use","1357","Pesticides (total)","2020","2020","tonnes","11748.89","E","Estimated value"
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","1990","1990","tonnes","60.11","E","Estimated value"
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","1991","1991","tonnes","60.11","E","Estimated value"
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","1992","1992","tonnes","60.11","E","Estimated value"
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","1993","1993","tonnes","60.11","E","Estimated value"
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","1994","1994","tonnes","60.11","E","Estimated value"
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","1995","1995","tonnes","60.11","E","Estimated value"
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","1996","1996","tonnes","70.43","E","Estimated value"
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","1997","1997","tonnes","80.75","E","Estimated value"
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","1998","1998","tonnes","91.07","E","Estimated value"
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","1999","1999","tonnes","101.39","E","Estimated value"
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2000","2000","tonnes","111.72","E","Estimated value"
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2001","2001","tonnes","122.04","E","Estimated value"
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2002","2002","tonnes","132.36","E","Estimated value"
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2003","2003","tonnes","142.68","E","Estimated value"
"RP","Pesticides Use","524","Nepal","5157","Agricultural Use","1357","Pesticides (total)","2004","2004","tonnes","153","E","Estimated value"
